web-scraper-order,web-scraper-start-url,Name,Video,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Muscle Group Image-src,Overview,Instructions,Tips
1744282601-11,https://www.muscleandstrength.com/exercises/one-arm-bent-over-dumbbell-reverse-fly.html,One-Arm Dumbbell Rear Delt Fly,https://player.vimeo.com/video/877880520?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The one-arm dumbbell rear delt fly is a great exercise to assist you in building a complete set of shoulders as it targets the rear delts, an often lagging muscle for many lifters.
Strengthening the rear delts can lead to improved posture and a greater level of strength on other lifts.
Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.","Grab a dumbbell with a neutral grip and bring your torso forward by bending at the waist. Keep your head up and your eyes facing forward.
Allow your arm to hang by your side. This is the starting position.
Take a deep breath and pull the dumbbell towards the ceiling using the rear deltoids, until parallel or as much as your range of motion allows.
Slowly lower the dumbbell back to the starting position under control.
Repeat for the desired number of repetitions, and then repeat on your opposite arm. ",
1744282603-12,https://www.muscleandstrength.com/exercises/banded-face-pull,Standing Banded Face Pull,https://www.youtube.com/embed/qhg8vNYUgsE?rel=0,Shoulders,Strength,Bands,Isolation,Pull (Bilateral),Intermediate,"Abs, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The banded face pull is an exercise used to isolate the muscles of the rear deltoids.
The band used when performing banded face pulls provides accommodating resistance.  Therefore, the closer one gets to a full contraction of the target muscle group, the more resistance that is applied by the band.","
		Assume a split stance with the arms straight out in front of you utilizing a pronated grip.

		Inhale, brace your abs, and pull the band towards your face with the elbows high and wide.

		Slowly lower the band back to the starting position and repeat for the desired number of repetitions on both sides.","
		If you find yourself leaning back or arching your back as you pull, utilize a half kneeling stance.

		As you pull, ensure the elbows stay high and the band remains at eye level.

		Focus on contracting the rear delts and ensure you don’t jut the head forward to meet the band.

		Ensure you set the band at face height rather than at the top of the machine as this may over recruit the lats and negate some of the scapular upward rotation benefits.

		Don’t rely upon momentum, keep the motion smooth and controlled from start to finish.

		If no band is available, you can still complete the exercise using 2 regular handles or a band."
1744282605-13,https://www.muscleandstrength.com/exercises/cable-internal-rotation,Cable Internal Rotation,https://www.youtube.com/embed/RpDuA5rUByk?rel=0,Shoulders,Strength,Cable,Isolation,Push (Unilateral),Beginner,Upper Back,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The internal cable rotation exercise is a great prehab exercise to perform to promote rotator cuff health.
Rotator cuffs are one of the more common injuries, especially as lifters get older. Performing prehab exercises such as internal cable rotations can help prevent injury and increase your longevity in the gym.","
		Position a cable just above waist height and attach a handle.

		Hinge from the elbow and bring the forearm up to 90 degrees while keeping the upper arm tight to the torso.

		Internally rotate the shoulder by pulling the handle across your body towards your chest while ensuring the hand doesn’t drop.

		Slowly lower the handle back to the starting position under control.

		Repeat for the desired number of repetitions.","
		Don’t worry about the weight, focus on the actual activation of the specific muscle groups.

		Ensure the elbow doesn’t leave the torso and the hand doesn’t drop as you complete the movement.

		Internal rotation is overused in most lifters due to high pressings volumes so this would be a poor choice if you’re already experiencing shoulder pain.

		As you internally rotate at the shoulder, ensure the shoulder blade doesn’t move."
1744282608-14,https://www.muscleandstrength.com/exercises/band-resistance-single-arm-landmine-press,Band Resistance Single Arm Standing Landmine Press,https://www.youtube.com/embed/yEDryRxbD4Y?rel=0,Shoulders,Strength,Landmine,Compound,Push (Unilateral),Intermediate,"Abs, Traps, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The band resistance single arm landmine press is an exercise one would use to build the muscles of the shoulder. It will also indirectly target the muscles of the traps and triceps.
The band resistance single arm landmine press is unique in that it includes two alternative tools you’ll find in the gym, the resistance band and landmine. The resistance band will help provide constant tension during the exercise, amplifying resistance towards the top of the movement.
The landmine allows the bar to travel in a somewhat fixed plane of motion. And since the band resistance single arm landmine press is unilateral by nature, it will allow you to isolate each deltoid to a greater degree.","
		Wrap one end of a band around the end of the barbell and secure the other end underneath your foot.

		Assume a standing position with your spine neutral and feet shoulder width apart.

		Shoulder the barbell in one hand and place your other hand on your ribcage to monitor spinal positioning.

		Once the barbell is in place, take a deep breath and press to lockout by extending the elbow and flexing the shoulder.

		Slowly lower the barbell back to the starting position on your shoulder and repeat for the desired number of repetitions.","
		Press with the contralateral arm compared to the knee in flexion (e.g. if your left leg is in flexion, the barbell should be in your right hand).

		Don’t allow the head to jut forward excessively.

		Drive the bicep to the ear and exhale as you press.

		If you sense any pressure in your neck or traps during the movement, look to address a lack of thoracic spine extension or shoulder flexion.

		Keeping the elbows slightly bent at the top and not locking out entirely will help to keep tension on the shoulders.

		If you can’t lock out the elbows overhead than it may indicate a lack of shoulder mobility due to poor scapular upward rotation.

		Ensure the rib cage stays down and you’re not falling into excessive hyperextension.

		Utilize a staggered stance to prevent yourself from overarching as you press."
1744282610-15,https://www.muscleandstrength.com/exercises/double-waves-battle-ropes,Double Wave Battling Rope,https://www.youtube.com/embed/3vQMDpPCxEI?rel=0,Shoulders,Conditioning,Rope,Compound,Push (Bilateral),Beginner,"Abs, Forearms, Lats, Shoulders, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The double wave battling rope exercise is a rope slam variation and an exercise used to primarily target the muscles of the shoulders, arms, and core.
Battle rope exercises, such as the double wave rope drill, are best used as a form of conditioning to get your heart rate up.
Alternatively, they can be used as an excellent shoulder finisher during your push or shoulder workouts.","
		Setup in a good athletic base position with your knees slightly bent, feet shoulder width apart, and hold a rope in each hand.

		Slam both ropes to the floor utilizing your arms and absorb the impact with your legs.

		Repeat for the desired time, duration, or reps.","
		Keep some tension through the core to help transmit force through the floor and keep the spine somewhat neutral as your extremities are moving.

		It’s supposed to be a full body movement, get the legs involved at the point of impact to help absorb force. Don’t just simply rely upon your arms.

		Keep the knees soft to help lessen the load on your joints and keep it on the musculature.

		You can progress the movement by utilizing heavier ropes, changing the difficulty of the rope slam (i.e. utilizing variations that involve more joints), or by increasing the duration/repetitions."
1744282612-16,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-reverse-fly-on-incline-bench.html,One Arm Dumbbell Rear Delt Fly On Incline Bench,https://www.youtube.com/embed/qIDc4exCHBs?rel=0,Shoulders,Strength,Dumbbell,Isolation,Pull (Unilateral),Beginner,"Traps, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The one arm dumbbell rear delt fly on an incline bench is an excellent exercise to isolate the rear delt.
Since the exercise is an unilateral movement, you can focus on isolating each rear delt one at a time to make sure you’re building both at an equal rate. By supporting your chest on an incline bench, you prohibit any excess movement during the exercise and focus solely on training the rear delt muscle.","
		Position an incline bench at roughly 40-50 degrees and select the desired weight from the rack.

		Lay flat against the bench and allow the arms to hang straight down from the shoulders with a neutral grip.

		Take a deep breath and pull the dumbbell towards the ceiling using the rear deltoid.

		Slowly lower the dumbbell back to the starting position under control.

		Repeat for the desired number of repetitions on both sides.","
		Ideally we want to focus on the rear deltoids, not the scapular retractors so movement at the shoulder blade should be limited. Move the shoulder within the joint, not the shoulder blade on the ribcage.

		Keep the abs braced and don’t arch the back at the top of the movement.

		If you can’t hinge to 90 degrees, then hinge as far as comfortably possible while completing the exercise. Or, you could also take a seated position to complete the exercise as well.

		If you experience shoulder pain during the movement then it may be beneficial to rotate the dumbbells until the thumbs are pointing away from one another and the palms are facing forward. This is also known as a supinated grip and will externally rotate the shoulder.

		Don’t jut your head forward during the movement - this about stimulation for a small muscle group. Focus during the movement and don’t just rely on momentum.

		Allow the arms to move freely but don’t lock out the elbows."
1744282615-17,https://www.muscleandstrength.com/exercises/shoulder-pin-press,Shoulder Pin Press,https://www.youtube.com/embed/8-vVBamv_tY?rel=0,Shoulders,Strength,Bench,Compound,Push (Bilateral),Beginner,"Traps, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The shoulder pin press is a variation of the overhead press and is used to directly target the muscles of the shoulders. The exercise will also indirectly target the core, traps, and triceps.
The shoulder pin press is an excellent exercise to train power since you will be pushing the weight used from a dead stop. The addition of pins also allows the lifter to use slightly heavier weight than they might performing the traditional shoulder press variation.","
		Adjust the safety pins to shoulder height while standing.

		Set the bar on the pins, load the desired weight, and stand directly beneath the bar with a shoulder width stance.

		Place your hands at (or just outside of) shoulder width with a pronated grip.

		Inhale, brace your abs, tuck your chin, and push the bar into the rack as press overhead to lockout.

		Exhale once the bar gets to lockout and reverse the movement slowly while controlling the bar back to the pins.

		Repeat for the desired number of repetitions.","
		Reach tall at the top and don’t worry about keeping the shoulders packed down and back.

		Allow the elbows to rotate and point outward at the top of the movement but tuck them tight to the ribcage at the bottom.

		Fight to control the bar from rolling your wrists into extension and think about “rolling your knuckles toward the ceiling.”

		Keep momentum out of the movement and don’t add any additional leg drive by flexing and extending the knees.

		Squeeze your glutes and brace your abs as you press. You shouldn’t be leaning back excessively as you press.

		Imagine you’re trying to look out a window at the top, your ears should be in line with your biceps.

		If your shoulders are bothering you during the movement, consider experimenting with a wider grip or utilizing some of the vertical pressing progressions.

		Press into the rack the entire time and lean forward slightly to enhance the movement even further.

		You can use a staggered stance to prevent the lower back from arching excessively but if you still can’t control the anterior core then consider using a half kneeling regression."
1744282617-18,https://www.muscleandstrength.com/exercises/one-arm-standing-dumbbell-front-raise.html,One-Arm Dumbbell Front Raise,https://player.vimeo.com/video/760002316?badge=0&autopause=0&player_id=0&app_id=58479,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The one-arm dumbbell front raise is a shoulder exercise used to target the front deltoids.
The front deltoid is involved in several pressing movements and working to increase the strength of this muscle group can have a positive carry-over into your heavy pushing lifts.
From an aesthetics standpoint, bigger front deltoids can lead to the appearance of a complete set of shoulders and a wider framed upper body.
Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.","Grab a dumbbell with a pronated grip and assume a shoulder-width stance. This is the starting position.
Inhale, brace your core and raise your arm vertically while keeping a slight bend in your elbow.
Moving only at the shoulder, continue raising the dumbbell until your arm is just above parallel to the floor.
Pause for a brief moment at the top of the movement, and slowly lower the dumbbell back to the starting position.
Repeat for desired reps, and then repeat the movement with your other arm.",
1744282619-19,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-front-raise-on-incline-bench.html,One-Arm Incline Dumbbell Front Raise,https://player.vimeo.com/video/760007858?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The one-arm dumbbell front raise on an incline bench is a shoulder exercise used to target the front deltoids.
The front deltoid is involved in several pressing movements and working to increase the strength of this muscle group can have a positive carry-over into your heavy pushing lifts.
Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.
From an aesthetic standpoint, bigger front deltoids can lead to the appearance of a complete set of shoulders and a wider framed upper body.","Grab a dumbbell and sit on the end of a bench while maintaining a straight back. 
Inhale, brace your abs and raise your arm vertically while holding the dumbbell with a pronated grip. Keep a slight bend in your elbow.
Once your arm is parallel with the floor, slowly lower the dumbbell back to the starting position.
Repeat for the desired number of repetitions, and then repeat on the other arm.",
1744282622-20,https://www.muscleandstrength.com/exercises/alternate-lying-dumbbell-reverse-fly.html,Alternating Lying Rear Delt Fly,https://player.vimeo.com/video/760007881?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The one-arm lying rear delt fly is a great exercise to assist you in building a complete set of shoulders as it targets the rear delts, an often lagging muscle for many lifters.
Strengthening the rear delts can lead to improved posture and a greater level of strength on other lifts.
Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.","Grab a pair of dumbbells and position yourself with your chest flat on a bench. Your feet can be straight out behind you or used for stability on the floor.  
Allow your arms to hang below the bench, and hold the dumbbells with a neutral grip.  This is the starting position.
Take a deep breath and pull one dumbbell towards the ceiling using the rear deltoids.
Slowly lower the dumbbell back to the starting position under control.
Immediately repeat the movement on your opposite arm. This is one rep.
Repeat for the desired number of repetitions.",
